distance(m),1,2,3,4,5,6,7,8,9,10
log distance,0,0.301029996,0.477121255,0.602059991,0.698970004,0.77815125,0.84509804,0.84509804,0.954242509,1
average RSS(dBm),55.20512821,41.25,36.07563025,36.3943662,36.35064935,36.13513514,35.2231405,30.12,32.27472527,28.92592593
standard deviation(dBm),1.16054067,0.843130811,1.058938258,0.886064706,1.222230853,1.208693672,0.880223488,0.787743956,1.300136181,0.668759817
,outer 1,outer 2,outer 3,outer 4,outer 5,outer 6,outer 7,outer 8,outer 9,outer 10
,Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm),Signal strength (dBm)
,54,42,36,37,36,37,35,29,33,
,54,42,36,37,36,37,35,31,33,
,55,42,36,36,37,36,35,31,33,
,55,42,36,36,36,36,35,30,33,
,55,42,36,36,36,37,35,29,32,
,55,42,36,35,36,34,35,29,33,
,55,41,37,37,35,34,35,29,32,
,55,41,37,36,36,34,35,30,33,
,54,41,37,36,36,34,35,30,33,
,54,41,37,36,36,34,35,30,33,
,55,41,37,37,36,34,35,30,33,
,55,41,37,36,36,33,35,30,32,
,55,39,36,36,35,35,36,30,33,
,55,39,36,36,35,36,35,30,32,
,55,40,36,34,37,36,35,30,33,
,55,40,36,,37,36,35,30,33,
,55,40,36,,34,36,36,30,33,
,55,39,36,,36,36,35,30,33,
,55,40,36,,36,,36,30,34,
,55,40,36,,35,,35,,33,
,55,40,36,,35,,35,,34,
,55,40,36,,,,35,,34,
,55,40,36,,,,36,,33,
,55,40,37,,,,36,,33,
,55,42,37,,,,35,,34,
,55,42,36,,,,36,,34,
,55,43,35,,,,36,,33,
,55,43,35,,,,36,,33,
,55,44,35,,,,36,,32,
,55,41,34,,,,36,,33,
,55,42,35,,,,36,,32,
,55,41,35,,,,36,,32,
,55,41,35,,,,36,,32,
,55,42,35,,,,36,,31,
,55,42,35,,,,35,,31,
,55,42,35,,,,35,,,
,55,42,35,,,,36,,,
,55,41,35,,,,36,,,
,55,41,35,,,,36,,,
,54,42,35,,,,37,,,
,54,41,35,,,,37,,,
,54,43,35,,,,37,,,
,54,41,35,,,,35,,,
,54,41,35,,,,35,,,
,54,41,35,,,,35,,,
,55,41,35,,,,36,,,
,55,41,35,,,,36,,,
,55,41,35,,,,36,,,
,55,41,35,,,,36,,,
,55,41,35,,,,36,,,
,55,41,35,,,,35,,,
,55,41,35,,,,35,,,
,55,41,35,,,,35,,,
,55,41,35,,,,35,,,
,55,41,34,,,,35,,,
,55,41,35,,,,35,,,
,55,41,35,,,,35,,,
,55,41,34,,,,36,,,
,55,42,34,,,,35,,,
,55,40,35,,,,35,,,
,55,,34,,,,35,,,
,54,,34,,,,33,,,
,54,,35,,,,33,,,
,54,,,,,,33,,,
,55,,,,,,33,,,
,55,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,54,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,55,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,53,,,,,,,,,
,54,,,,,,,,,
,54,,,,,,,,,
,55,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,57,,,,,,,,,
,57,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,55,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,56,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,56,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
,55,,,,,,,,,
