"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"137","34.005819500","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","509","40dBm","","","QoS Data, SN=1173, FN=0, Flags=.p....F."
"138","34.006621000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=1174, FN=0, Flags=.p....F."
"141","34.065934900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","208","40dBm","","","QoS Data, SN=1175, FN=0, Flags=.p....F."
"144","35.234794300","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","39dBm","","","QoS Data, SN=1176, FN=0, Flags=.p....F."
"147","35.643922000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","40dBm","","","QoS Data, SN=1177, FN=0, Flags=.p....F."
"151","38.716204800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=1178, FN=0, Flags=.p....F."
"152","38.717077400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","40dBm","","","QoS Data, SN=1179, FN=0, Flags=.p....F."
"153","38.717077400","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","152","40dBm","","","QoS Data, SN=1180, FN=0, Flags=.p....F."
"154","38.717380100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","40dBm","","","QoS Data, SN=1181, FN=0, Flags=.p....F."
"155","38.717380100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","232","40dBm","","","QoS Data, SN=1182, FN=0, Flags=.p....F."
"159","42.300518200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1186, FN=0, Flags=.p....F."
"160","42.301369900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","42dBm","","","QoS Data, SN=1187, FN=0, Flags=.p....F."
"163","42.385067900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","43dBm","","","QoS Data, SN=1188, FN=0, Flags=.p....F."
"164","42.389410800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","43dBm","","","QoS Data, SN=1189, FN=0, Flags=.p....F."
"166","42.608044800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","139","44dBm","","","QoS Data, SN=1190, FN=0, Flags=.p....F."
"168","44.245616900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","305","41dBm","","","QoS Data, SN=1191, FN=0, Flags=.p....F."
"171","45.269783000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","42dBm","","","QoS Data, SN=1192, FN=0, Flags=.p....F."
"174","45.884064700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","409","41dBm","","","QoS Data, SN=1193, FN=0, Flags=.p....F."
"176","48.041913100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=1194, FN=0, Flags=.p....F."
