"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"178","52.542358200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","40dBm","","","QoS Data, SN=3448, FN=0, Flags=.p....F."
"179","52.542358200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","141","40dBm","","","QoS Data, SN=3449, FN=0, Flags=.p....F."
"181","54.599560700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=3450, FN=0, Flags=.p....F."
"185","57.141034900","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","106","41dBm","","","QoS Data, SN=3451, FN=0, Flags=.p....F."
"187","57.324469200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","41dBm","","","QoS Data, SN=3452, FN=0, Flags=.p....F."
"188","58.172501600","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","114","41dBm","","","QoS Data, SN=3453, FN=0, Flags=.p....F."
"189","59.608976000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","1532","40dBm","","","QoS Data, SN=3454, FN=0, Flags=.p....F."
"192","61.654094700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","160","41dBm","","","QoS Data, SN=3455, FN=0, Flags=.p....F."
"195","62.882796800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","411","41dBm","","","QoS Data, SN=3456, FN=0, Flags=.p....F."
"198","64.224247200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","41dBm","","","QoS Data, SN=3457, FN=0, Flags=.p....F."
"225","67.695602200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","199","37dBm","","","QoS Data, SN=3458, FN=0, Flags=.p....F."
"228","67.785660100","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","403","39dBm","","","QoS Data, SN=3459, FN=0, Flags=.p....F."
"230","68.874244000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","35dBm","","","QoS Data, SN=3460, FN=0, Flags=.p....F."
"232","69.003921800","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=3461, FN=0, Flags=.p....F."
"235","69.743596000","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=3462, FN=0, Flags=.p....F."
"236","69.744571700","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=3463, FN=0, Flags=.p....F."
"240","71.172843200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=3464, FN=0, Flags=.p....F."
"241","71.172843200","fe:d8:48:4e:25:64","IntelCor_72:c1:df","802.11","118","34dBm","","","QoS Data, SN=3465, FN=0, Flags=.p....F."
